# Таблица 29 (Изображения 64–69): Распределение смертности населения по возрастам и месяцам в уездах
Возрастъ,Январь (М),Январь (Ж),Февраль (М),Февраль (Ж),Март (М),Март (Ж),Апрель (М),Апрель (Ж),Май (М),Май (Ж),Июнь (М),Июнь (Ж),Июль (М),Июль (Ж),Август (М),Август (Ж),Сентябрь (М),Сентябрь (Ж),Октябрь (М),Октябрь (Ж),Ноябрь (М),Ноябрь (Ж),Декабрь (М),Декабрь (Ж),Всего за годъ (М),Всего за годъ (Ж),ИТОГО
Итого,932,943,861,799,993,893,873,789,820,781,958,770,1418,1201,1294,1209,888,795,690,601,623,603,698,629,11048,10013,21061
81 - 85,14,1,7,5,9,4,10,4,5,2,9,5,8,7,7,5,10,6,4,3,11,3,11,5,103,50,153
85 - 90,4,7,6,11,13,7,4,2,8,4,1,4,6,2,5,3,6,4,5,5,7,1,13,4,76,53,129
90 - 95,1,4,6,4,4,6,4,————,2,1,2,1,8,4,5,3,————,————,5,————,2,—,6,5,52,40,92
95 - 100,1,2,4,2,2,1,1,—,2,—,6,2,1,—,5,————,————,——,————,——,3,—,————,——,29,12,41
100 - 105,2,————,1,1,1,————,2,2,2,————,————,————,————,————,3,1,1,1,1,————,————,——,1,————,15,7,22
105 - 110,————,——,————,——,2,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,————,——,————,——,3,——,3
110 - 115,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,1,————,————,——,1,——,1
115 - 120,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,1,————,————,——,————,——,1,——,1
120 - 125,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————
Итого,22,14,22,26,31,20,22,11,18,7,20,12,22,12,25,15,22,12,22,8,21,10,33,16,280,163,443
ВСЕГО,954,957,883,825,1024,913,895,800,838,788,978,782,1440,1213,1319,1224,910,807,712,609,644,613,731,645,11328,10176,21504
